Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
BIBC 120,BIBC,Nutrition,5.508529411764705,3.014516129032258,B (3.0)
BIBC 130,BIBC,Envir Phy/Biochem/Mar Organism,5.505,2.8049999999999997,B- (2.7)
BIBC 130,BIBC,Marine Biochemistry,3.85,2.89,B- (2.7)
BIBC 140,BIBC,Introduction to Biofuels,5.495,2.98,B- (2.7)
BIBC 140,BIBC,Our Energy Future,4.418,3.05,B (3.0)
BIBC 151,BIBC,Chem of Bio Interactions,6.078,3.9375,A- (3.7)
BIBC 194,BIBC,Adv Topics-Biochemistry,2.2163636363636363,3.902,A- (3.7)
BICD 100,BICD,Genetics,6.010494505494506,3.0724550898203593,B (3.0)
BICD 101,BICD,Eucaryotic Genetics Laboratory,6.523333333333333,3.29,B (3.0)
BICD 102,BICD,Genetic Inquiry,4.445,3.745,A- (3.7)
BICD 104,BICD,Genetic Neurobiology,4.75,2.96,B- (2.7)
BICD 110,BICD,Cell Biology,6.80452380952381,3.132625,B (3.0)
BICD 111,BICD,Cell Biology Laboratory,4.545,2.995,B- (2.7)
BICD 112,BICD,Stem Cells and Regeneration,7.789285714285714,3.555,B+ (3.3)
BICD 120,BICD,Fundamentals of Plant Biology,4.7090000000000005,3.024,B (3.0)
BICD 120,BICD,Molecular Basis of Plant Dev,3.97,3.5,B+ (3.3)
BICD 123,BICD,Plant Mol Genetics&Biotech Lab,6.364736842105263,3.594736842105263,B+ (3.3)
BICD 130,BICD,Embryos Genes & Development,6.602727272727273,2.8133333333333335,B- (2.7)
BICD 131,BICD,Embryology Laboratory,9.78,3.6,B+ (3.3)
BICD 134,BICD,Human Reproduction&Development,4.932307692307693,3.49,B+ (3.3)
BICD 136,BICD,AIDS Science and Society,8.116153846153846,2.7427272727272727,B- (2.7)
BICD 140,BICD,Immunology,7.358387096774193,2.922258064516129,B- (2.7)
BICD 145,BICD,Lab in Molecular Medicine,6.69,3.6766666666666663,B+ (3.3)
BICD 150,BICD,Endocrinology,7.246153846153846,3.0153846153846158,B (3.0)
BICD 156,BICD,Population Genetics,6.925000000000001,3.675,B+ (3.3)
BICD 158,BICD,Active Genetics,4.66,3.56,B+ (3.3)
BICD 194,BICD,Adv Topics-Cellular Dev,2.9676,3.8246153846153845,A- (3.7)
BIEB 100,BIEB,Biometry,4.76,2.95,B- (2.7)
BIEB 100,BIEB,Biostatistics,6.8275,2.84,B- (2.7)
BIEB 102,BIEB,Intro Eclgy/Organisms&Habitats,5.045909090909091,2.9763636363636365,B- (2.7)
BIEB 121,BIEB,Ecology Laboratory,5.6755555555555555,3.6429032258064518,B+ (3.3)
BIEB 123,BIEB,Molculr Mthd/Ecolgy & Evol Lab,4.72,3.276666666666667,B (3.0)
BIEB 123,BIEB,Molculr Mthd/Evol & Ecol Lab,4.903333333333333,3.533333333333333,B+ (3.3)
BIEB 126,BIEB,Plant Ecology,4.694166666666667,2.7641666666666667,B- (2.7)
BIEB 128,BIEB,Insect Diversity,4.245,2.9525,B- (2.7)
BIEB 128,BIEB,Insect Ecology,4.422499999999999,2.7925,B- (2.7)
BIEB 130,BIEB,Marine Conservation Biology,3.9480000000000004,3.5480000000000005,B+ (3.3)
BIEB 131,BIEB,Marine Invertebrate Ecology Lb,9.37,3.2266666666666666,B (3.0)
BIEB 132,BIEB,Introduction to Marine Biology,4.068333333333333,2.775,B- (2.7)
BIEB 134,BIEB,Intro/Biological Oceanography,5.994,2.88875,B- (2.7)
BIEB 135,BIEB,Aquatic Ecology Lab,5.464,3.53,B+ (3.3)
BIEB 140,BIEB,Biodiversity,4.739230769230769,2.828461538461539,B- (2.7)
BIEB 143,BIEB,Comp Modeling in Evol/Ecol,5.4415,3.4125,B+ (3.3)
BIEB 146,BIEB,Genome Diversity and Dynamics,4.839,3.567,B+ (3.3)
BIEB 147,BIEB,Introduction to Phylogenetics,3.665,2.96,B- (2.7)
BIEB 150,BIEB,Evolution,5.128620689655172,2.9918518518518518,B- (2.7)
BIEB 152,BIEB,Evol of Infectious Diseases,5.121111111111111,3.285555555555556,B (3.0)
BIEB 154,BIEB,Evolutionary Inquiry,6.413333333333333,3.06,B (3.0)
BIEB 156,BIEB,Evolution and Society,5.23,3.0,B (3.0)
BIEB 156,BIEB,Population Genetics,6.0024999999999995,2.74,B- (2.7)
